fr_school_id	maxpreps_url	school_id	method	games_count
ks-lawrence-lawrence-free-state	https://www.maxpreps.com/ks/lawrence/lawrence-free-state-firebirds/football/schedule/	9374ea9a-1e2a-49e2-bf12-2649b8a4dced	search	10
ms-brookhaven-brookhaven	https://www.maxpreps.com/ms/brookhaven/brookhaven-panthers/football/schedule/	1e19a124-7821-4a31-9708-b8f796f5c530	crosswalk	10
nc-jacksonville-jacksonville	https://www.maxpreps.com/nc/jacksonville/jacksonville-cardinals/football/schedule/	30f84c09-d6c7-48ff-88d5-ebec2498515a	search	10
ne-grand-island-central-catholic	https://www.maxpreps.com/ne/grand-island/grand-island-central-catholic-crusaders/football/schedule/	bfb8a6b5-5370-4e2d-9e5b-981deb33935c	search	10
ne-malcolm-malcolm	https://www.maxpreps.com/ne/malcolm/malcolm-clippers/football/schedule/	806729c4-912e-4154-a666-4fbc33c44c3e	search	10
oh-hilliard-hilliard-bradley	https://www.maxpreps.com/oh/hilliard/hilliard-bradley-jaguars/football/schedule/	1126ffa1-fa4a-4f8e-b84d-a06c385564d6	search	10
oh-marysville-marysville	https://www.maxpreps.com/oh/marysville/marysville-monarchs/football/schedule/	14b2db24-a323-4286-be0e-ddbe617b0680	search	10
oh-mount-vernon-mount-vernon	https://www.maxpreps.com/oh/mt-vernon/mt-vernon-yellowjackets/football/schedule/	91f80c59-512a-4eef-bc4f-fd4a0be4daa9	crosswalk	10
oh-newark-newark	https://www.maxpreps.com/oh/newark/newark-wildcats/football/schedule/	3f707780-7f7e-4752-8eca-4ae4afbb2319	crosswalk	10
oh-pickerington-pickerington-north	https://www.maxpreps.com/oh/pickerington/pickerington-north-panthers/football/schedule/	cbb26a5c-5461-4b76-a2b1-cc813c1f98c5	crosswalk	10
oh-sandusky-sandusky	https://www.maxpreps.com/oh/sandusky/sandusky-streaky-bear/football/schedule/	b64edddd-c363-4367-a5ff-5f528593d7f2	search	10
oh-wadsworth-wadsworth	https://www.maxpreps.com/oh/wadsworth/wadsworth-grizzlies/football/schedule/	c0cffcf0-29fa-471e-873d-41711d4a229a	search	10
ok-enid-enid	https://www.maxpreps.com/ok/enid/enid-pacer-plainsmen/football/schedule/	46a486b0-c28f-4ad8-8782-dff5f3064609	search	10
ok-owasso-owasso	https://www.maxpreps.com/ok/owasso/owasso-rams/football/schedule/	d62287a3-c3d7-4ed6-adc8-675375174752	search	10
ok-poteau-poteau	https://www.maxpreps.com/ok/poteau/poteau-pirates/football/schedule/	1a7b4cc9-1e7e-43fc-92a5-c0e8b0cc8aa7	search	10
sc-duncan-byrnes	https://www.maxpreps.com/sc/duncan/james-f-byrnes-rebels/football/schedule/	9f1dee8a-9b5e-427e-9d87-392bfb054752	search	10
sc-sumter-sumter	https://www.maxpreps.com/sc/sumter/sumter-gamecocks/football/schedule/	f71b3c95-3cc8-422d-94a4-a93e824f780f	crosswalk	10
tn-maryville-maryville	https://www.maxpreps.com/tn/maryville/maryville-red-rebels/football/schedule/	bea65eb1-224f-4e57-b7a4-de8971ed72e7	crosswalk	10
tn-springfield-springfield	https://www.maxpreps.com/tn/springfield/springfield-yellow-jackets/football/schedule/	6c055408-7e0f-49bb-9101-e1a07b2c9b84	search	10
tx-angleton-angleton	https://www.maxpreps.com/tx/angleton/angleton-wildcats/football/schedule/	8f96a6c0-af02-45a5-83fe-cc2714808f48	crosswalk	10
tx-atlanta-atlanta	https://www.maxpreps.com/tx/atlanta/atlanta-rabbits/football/schedule/	25f464bb-5a88-43c2-bfa9-faf8b0f5cde8	search	10
tx-dickinson-dickinson	https://www.maxpreps.com/tx/dickinson/dickinson-gators/football/schedule/	b510c55b-5ef3-456f-b452-b7c2491eebdd	search	10
tx-fulshear-fulshear	https://www.maxpreps.com/tx/fulshear/fulshear-chargers/football/schedule/	31c3502e-be12-4d96-bce4-7c0b2227254e	search	10
tx-huntsville-huntsville	https://www.maxpreps.com/tx/huntsville/huntsville-hornets/football/schedule/	db96ef3f-9d7c-40c0-89ca-fe8b11a73af1	search	10
tx-iowa-colony-iowa-colony	https://www.maxpreps.com/tx/iowa-colony/iowa-colony-pioneers/football/schedule/	bfd82b89-9397-42dc-bbb1-b9986d013383	search	10
tx-midlothian-midlothian-heritage	https://www.maxpreps.com/tx/midlothian/midlothian-heritage-jaguars/football/schedule/	3d69ea74-957b-45f9-b53f-6cdbe454ed46	search	10
tx-navasota-navasota	https://www.maxpreps.com/tx/navasota/navasota-rattlers/football/schedule/	3e1efaed-e0b3-4b2d-bb5c-951046516135	search	10
tx-rockwall-rockwall	https://www.maxpreps.com/tx/rockwall/rockwall-yellowjackets/football/schedule/	2f9d779a-3559-44ad-a335-e82ac1bf9666	search	10
tx-royse-city-royse-city	https://www.maxpreps.com/tx/royse-city/royse-city-bulldogs/football/schedule/	289a6016-4e4d-4672-a36f-b4268973647f	search	10
tx-san-augustine-san-augustine	https://www.maxpreps.com/tx/san-augustine/san-augustine-wolves/football/schedule/	7bb85f5a-ef65-43b6-a16b-5239543c5434	search	10
tx-woodlands-woodlands-college-park	https://www.maxpreps.com/tx/the-woodlands/college-park-cavaliers/football/schedule/	06029cb1-3078-461f-bf7e-0a43acf40a7f	search	10
